City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zhangye,38.9342,100.4517,4.31,27,0,2.47,CN,1704183416
83,iskateley,67.6803,53.1512,-25.55,100,83,1.79,RU,1704183416
84,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,77,0,7.6,RU,1704183416
85,rio grande,-32.035,-52.0986,22.19,87,90,6.65,BR,1704183416
86,jamestown,42.097,-79.2353,0.77,92,100,2.57,US,1704183351
87,crane,31.3974,-102.3501,6.38,59,100,4.52,US,1704183416
88,maceio,-9.6658,-35.7353,23.69,100,40,1.54,BR,1704183417
89,pangody,65.85,74.4859,-30.84,95,6,4.54,RU,1704183417
90,utrik,11.2278,169.8474,27.15,79,71,10.38,MH,1704183417
91,nanao,37.05,136.9667,9.11,72,43,4.09,JP,1704183417
92,mpulungu,-8.7623,31.1141,24.3,77,100,1.48,ZM,1704183417
93,tiksi,71.6872,128.8694,-28.86,100,100,0.55,RU,1704183417
94,myeik,12.4333,98.6,29.99,57,100,4.5,MM,1704183417
95,kedrovyy,56.1667,91.8167,-0.53,89,100,5.81,RU,1704183417
96,anadyr,64.75,177.4833,-6.72,68,20,6.0,RU,1704183418
97,ginir,7.1333,40.7,22.39,29,61,2.57,ET,1704183418
98,yilan,24.757,121.753,23.92,70,84,2.24,TW,1704183418
99,tete,-16.1564,33.5867,32.05,55,40,3.09,MZ,1704183418
100,vadso,70.0744,29.7487,-12.91,78,75,6.69,NO,1704183418
101,ribeira grande,38.5167,-28.7,16.22,77,40,6.17,PT,1704183418
102,altamira,-3.2033,-52.2064,23.33,93,95,1.21,BR,1704183419
103,khorixas,-20.3667,14.9667,27.54,12,47,4.59,NA,1704183419
104,howrah,22.5892,88.3103,21.0,60,0,3.6,IN,1704183419
105,adrar,20.5022,-10.0711,16.3,18,100,4.24,MR,1704183419
106,belfast,54.5833,-5.9333,8.9,88,20,5.66,GB,1704183419
107,malango,-2.9627,119.9001,24.8,91,100,0.63,ID,1704182838
108,coquimbo,-29.9533,-71.3436,16.92,84,2,0.68,CL,1704183141
109,hermanus,-34.4187,19.2345,25.45,61,50,3.54,ZA,1704183420
110,dryden,49.7833,-92.7503,-4.26,92,100,3.04,CA,1704182856
